PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;004;01;38;02;13;01;01;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00002;V;00002;V;00002;V;00003;V;00003;V;00003;V;00003;V;00004;V;00005;V;00005;V;00005;V;00005;V;00005;V;00006;V;00008;V;00006;V;00004;V;00008;V
28;079;004;01;38;02;13;01;02;00007;V;00005;V;00005;V;00004;V;00004;V;00003;V;00004;V;00006;V;00010;V;00012;V;00012;V;00016;V;00020;V;00011;V;00008;V;00007;V;00008;V;00008;V;00008;V;00010;V;00008;V;00008;V;00007;V;00006;V
28;079;004;01;38;02;13;01;03;00005;V;00005;V;00004;V;00004;V;00004;V;00003;V;00004;V;00006;V;00006;V;00009;V;00009;V;00006;V;00008;V;00008;V;00009;V;00008;V;00008;V;00008;V;00011;V;00017;V;00014;V;00011;V;00009;V;00006;V
28;079;004;01;38;02;13;01;04;00006;V;00006;V;00005;V;00004;V;00004;V;00004;V;00004;V;00007;V;00008;V;00008;V;00013;V;00023;V;00017;V;00018;V;00016;V;00010;V;00010;V;00011;V;00018;V;00014;V;00012;V;00016;V;00014;V;00010;V
28;079;004;01;38;02;13;01;05;00008;V;00006;V;00007;V;00006;V;00004;V;00005;V;00005;V;00005;V;00005;V;00009;V;00008;V;00012;V;00017;V;00012;V;00013;V;00010;V;00010;V;00010;V;00011;V;00010;V;00012;V;00013;V;00012;V;00009;V
28;079;004;01;38;02;13;01;06;00007;V;00008;V;00008;V;00006;V;00006;V;00006;V;00005;V;00005;V;00005;V;00006;V;00007;V;00012;V;00020;V;00016;V;00012;V;00010;V;00009;V;00009;V;00010;V;00010;V;00012;V;00012;V;00009;V;00007;V
28;079;004;01;38;02;13;01;07;00007;V;00006;V;00005;V;00005;V;00005;V;00005;V;00006;V;00006;V;00006;V;00006;V;00005;V;00004;V;00006;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00003;V;00003;V;00003;V
28;079;004;01;38;02;13;01;08;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00004;V;00005;V;00005;V;00006;V;00004;V;00003;V;00005;V;00007;V;00007;V;00007;V;00007;V;00007;V;00006;V;00007;V;00007;V;00005;V;00004;V
28;079;004;01;38;02;13;01;09;00004;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00004;V;00005;V;00006;V;00006;V;00006;V;00007;V;00007;V;00007;V;00007;V;00007;V;00006;V;00005;V;00005;V;00005;V;00005;V;00004;V;00004;V
28;079;004;01;38;02;13;01;10;00005;V;00006;V;00005;V;00005;V;00004;V;00004;V;00005;V;00006;V;00006;V;00004;V;00004;V;00004;V;00005;V;00007;V;00010;V;00010;V;00009;V;00006;V;00006;V;00007;V;00009;V;00011;V;00007;V;00005;V
28;079;004;01;38;02;13;01;11;00005;V;00005;V;00004;V;00004;V;00004;V;00003;V;00004;V;00004;V;00006;V;00006;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V
28;079;004;01;38;02;13;01;12;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00004;V;00004;V;00005;V;00004;V;00004;V;00004;V;00004;V;00003;V;00003;V;00003;V;00003;V;00003;V
28;079;004;01;38;02;13;01;13;00003;V;00003;V;00003;V;00003;V;00002;V;00002;V;00002;V;00002;V;00002;V;00003;V;00003;V;00003;V;00004;V;00005;V;00003;V;00003;V;00004;V;00004;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V
28;079;004;01;38;02;13;01;14;00004;V;00004;V;00004;V;00003;V;00003;V;00003;V;00004;V;00006;V;00006;V;00005;V;00005;V;00006;V;00005;V;00005;N;00006;V;00006;V;00007;V;00006;V;00005;V;00005;V;00004;V;00004;V;00004;V;00004;V
28;079;004;01;38;02;13;01;15;00004;V;00004;V;00003;V;00003;V;00003;V;00003;V;00003;V;00004;V;00004;V;00005;V;00004;V;00004;V;00004;V;00005;V;00005;V;00006;V;00008;V;00007;V;00007;V;00007;V;00006;V;00005;V;00005;V;00004;V
28;079;004;01;38;02;13;01;16;00003;V;00004;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00004;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V
28;079;004;01;38;02;13;01;17;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00004;V;00005;V;00005;V;00006;V;00007;V;00006;V;00007;V;00006;V;00005;V;00005;V;00005;V;00005;V;00005;V;00004;V;00004;V;00003;V
28;079;004;01;38;02;13;01;18;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00004;V;00004;V;00004;V;00004;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V
28;079;004;01;38;02;13;01;19;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00002;V;00002;V;00002;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00004;V;00004;V;00004;V;00004;V;00003;V
28;079;004;01;38;02;13;01;20;00003;V;00003;V;00003;V;00003;V;00003;V;00002;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00004;V;00004;V;00004;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00002;V;00002;V
28;079;004;01;38;02;13;01;21;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00003;V;00004;V;00005;V;00007;V;00008;V;00009;V;00009;V;00007;V;00009;V;00006;V;00005;V;00005;V;00007;V;00006;V;00005;V;00005;V;00005;V
28;079;004;01;38;02;13;01;22;00003;V;00003;V;00003;V;00002;V;00002;V;00002;V;00002;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00005;V;00004;V;00003;V;00003;V;00003;V
28;079;004;01;38;02;13;01;23;00003;V;00003;V;00003;V;00003;V;00002;V;00002;V;00003;V;00003;V;00005;V;00006;V;00008;V;00009;V;00009;V;00009;V;00010;V;00009;V;00007;V;00004;V;00004;V;00004;V;00003;V;00003;V;00003;V;00003;V
28;079;004;01;38;02;13;01;24;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00003;V;00004;V;00005;V;00007;V;00007;V;00008;V;00007;V;00006;V;00008;V;00005;V;00007;V;00008;V;00007;V;00007;V;00007;V;00005;V;00004;V
28;079;004;01;38;02;13;01;25;00004;V;00005;V;00003;V;00004;V;00004;V;00004;V;00005;V;00006;V;00008;V;00010;V;00011;V;00009;V;00006;V;00005;V;00005;V;00006;V;00005;V;00005;V;00005;V;00005;V;00004;V;00004;V;00003;V;00003;V
28;079;004;01;38;02;13;01;26;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00004;V;00004;V;00006;V;00007;V;00007;V;00005;V;00005;V;00004;V;00003;V;00004;V;00005;V;00006;V;00010;V;00014;V;00011;V;00015;V;00012;V
28;079;004;01;38;02;13;01;27;00011;V;00009;V;00008;V;00006;V;00006;V;00005;V;00005;V;00004;V;00005;V;00006;V;00006;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00003;V;00003;V;00003;V;00003;V;00004;V;00003;V
28;079;004;01;38;02;13;01;28;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00003;V;00004;V;00005;V;00006;V;00006;V;00007;V;00005;V;00005;V;00004;V;00004;V;00004;V;00004;V;00005;V;00008;V;00010;V;00010;V;00009;V
28;079;004;01;38;02;13;01;29;00007;V;00005;V;00003;V;00003;V;00003;V;00003;V;00004;V;00004;V;00009;V;00010;V;00009;V;00013;V;00013;V;00014;V;00013;V;00013;V;00012;V;00011;V;00011;V;00015;V;00016;V;00013;V;00009;V;00009;V
28;079;004;01;38;02;13;01;30;00007;V;00006;V;00006;V;00005;V;00004;V;00004;V;00005;V;00007;V;00010;V;00010;V;00012;V;00018;V;00016;V;00012;V;00012;V;00010;V;00008;V;00009;V;00010;V;00010;V;00010;V;00012;V;00013;V;00012;V
28;079;004;01;38;02;13;01;31;00008;V;00006;V;00005;V;00005;V;00004;V;00004;V;00005;V;00008;V;00009;V;00011;V;00014;V;00019;V;00018;V;00014;V;00013;V;00011;V;00010;V;00009;V;00009;V;00007;V;00008;V;00012;V;00013;V;00012;V
28;079;004;06;48;02;13;01;01;000.4;V;000.4;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.3;V;000.2;V;000.3;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.5;V;000.6;V;000.6;V;000.9;V;000.7;V;000.5;V;000.9;V
28;079;004;06;48;02;13;01;02;000.8;V;000.6;V;000.6;V;000.5;V;000.5;V;000.4;V;000.5;V;000.8;V;001.3;V;001.5;V;001.4;V;000.9;V;000.9;V;000.6;V;000.5;V;000.3;V;000.3;V;000.3;V;000.4;V;000.7;V;000.4;V;000.4;V;000.3;V;000.3;V
28;079;004;06;48;02;13;01;03;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.4;V;000.5;V;000.6;V;000.6;V;001.0;V;000.9;V;000.4;V;000.5;V;000.5;V;000.5;V;000.5;V;000.5;V;000.5;V;000.8;V;001.4;V;001.4;V;001.1;V;000.9;V;000.6;V
28;079;004;06;48;02;13;01;04;000.6;V;000.7;V;000.5;V;000.4;V;000.4;V;000.4;V;000.4;V;000.6;V;000.8;V;001.1;V;001.3;V;001.1;V;000.9;V;000.9;V;000.8;V;000.6;V;000.7;V;000.8;V;001.3;V;001.0;V;001.3;V;001.7;V;001.5;V;001.0;V
28;079;004;06;48;02;13;01;05;000.8;V;000.7;V;000.8;V;000.6;V;000.5;V;000.6;V;000.6;V;000.6;V;000.8;V;001.1;V;000.8;V;000.9;V;001.0;V;000.7;V;000.7;V;000.6;V;000.6;V;000.7;V;000.9;V;000.8;V;001.3;V;001.5;V;001.2;V;001.0;V
28;079;004;06;48;02;13;01;06;000.9;V;000.9;V;000.9;V;000.7;V;000.7;V;000.7;V;000.6;V;000.7;V;000.8;V;000.7;V;000.6;V;000.8;V;001.1;V;000.7;V;000.7;V;000.6;V;000.6;V;000.7;V;000.7;V;001.0;V;001.5;V;001.3;V;001.1;V;000.8;V
28;079;004;06;48;02;13;01;07;000.9;V;000.8;V;000.7;V;000.6;V;000.6;V;000.6;V;000.7;V;000.7;V;000.7;V;000.9;V;000.7;V;000.5;V;000.7;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.5;V;000.4;V;000.4;V;000.4;V;000.4;V
28;079;004;06;48;02;13;01;08;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.5;V;000.6;V;000.6;V;000.7;V;000.5;V;000.4;V;000.6;V;000.7;V;000.7;V;000.8;V;000.7;V;000.8;V;000.7;V;000.7;V;000.7;V;000.5;V;000.5;V
28;079;004;06;48;02;13;01;09;000.4;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.5;V;000.5;V;000.5;V;000.6;V;000.6;V;000.6;V;000.5;V;000.5;V;000.5;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V
