PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;PERIODO_ANALISIS;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;004;01;38;02;17;05;01;00004;V;00004;V;00004;V;00004;V;00003;V;00003;V;00003;V;00004;V;00004;V;00004;V;00004;V;00005;V;00005;V;00005;V;00004;V;00004;V;00004;V;00004;V;00003;V;00004;V;00005;V;00005;V;00005;V;00005;V
28;079;004;01;38;02;17;05;02;00005;V;00005;V;00005;V;00004;V;00004;V;00004;V;00005;V;00005;V;00006;V;00006;V;00006;V;00006;V;00005;V;00005;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00005;V;00005;V
28;079;004;01;38;02;17;05;03;00006;V;00005;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00006;V;00006;V;00006;V;00006;V;00006;V;00005;V;00004;V;00004;V;00004;V;00003;V;00004;V;00004;V;00004;V;00004;V;00010;V;00011;V
28;079;004;01;38;02;17;05;04;00009;V;00008;V;00006;V;00005;V;00005;V;00005;V;00005;V;00005;V;00006;V;00006;V;00006;V;00006;V;00006;V;00006;V;00006;V;00006;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00006;V
28;079;004;01;38;02;17;05;05;00008;V;00006;V;00005;V;00004;V;00005;V;00004;V;00005;V;00005;V;00005;V;00005;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V
28;079;004;01;38;02;17;05;06;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V
28;079;004;01;38;02;17;05;07;00004;V;00005;V;00004;V;00004;V;00005;V;00004;V;00004;V;00005;V;00005;V;00005;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00003;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00008;V
28;079;004;01;38;02;17;05;08;00005;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00005;V;00006;V;00005;V;00006;V;00005;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V
28;079;004;01;38;02;17;05;09;00007;V;00007;V;00005;V;00005;V;00004;V;00004;V;00007;V;00012;V;00009;V;00008;V;00007;V;00006;V;00005;V;00005;V;00004;V;00004;V;00004;V;00004;V;00004;N;00004;V;00004;V;00004;V;00004;V;00004;V
28;079;004;01;38;02;17;05;10;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00004;V;00004;V;00004;V;00004;V;00004;V
28;079;004;01;38;02;17;05;11;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V
28;079;004;01;38;02;17;05;12;00004;V;00004;V;00004;V;00003;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V
28;079;004;01;38;02;17;05;13;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V
28;079;004;01;38;02;17;05;14;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00005;V;00005;V;00004;V;00004;V;00004;V;00003;V;00004;V;00003;V;00003;V;00003;V;00004;V;00004;V;00004;V;00004;V;00004;V
28;079;004;01;38;02;17;05;15;00005;V;00006;V;00007;V;00006;V;00005;V;00005;V;00004;V;00005;V;00005;V;00005;V;00005;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00006;V;00007;V
28;079;004;01;38;02;17;05;16;00005;V;00004;V;00005;V;00004;V;00004;V;00004;V;00005;V;00009;V;00006;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00004;V;00004;V;00004;V;00004;V;00005;V;00005;V;00005;V;00006;V;00005;V
28;079;004;01;38;02;17;05;17;00005;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00005;V;00005;V;00006;V;00005;V;00005;V;00005;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00004;V;00004;V;00004;V;00004;V
28;079;004;01;38;02;17;05;18;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00006;V;00005;V;00005;V;00005;V;00005;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V
28;079;004;01;38;02;17;05;19;00005;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00006;V;00007;V;00006;V;00005;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00005;V;00004;V;00004;V
28;079;004;01;38;02;17;05;20;00004;V;00004;V;00005;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00006;V;00005;V;00004;V;00004;V;00005;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00005;V;00005;V;00009;V;00010;V
28;079;004;01;38;02;17;05;21;00007;V;00006;V;00005;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00005;V;00005;V;00005;V;00005;V;00004;V;00005;V;00005;V;00004;V;00005;V;00005;V;00006;V;00007;V
28;079;004;01;38;02;17;05;22;00005;V;00005;V;00004;V;00005;V;00004;V;00004;V;00005;V;00007;V;00008;V;00007;V;00005;V;00005;V;00005;N;00005;V;00004;V;00004;V;00004;V;00005;V;00004;V;00004;V;00005;V;00005;V;00005;V;00006;V
28;079;004;01;38;02;17;05;23;00005;V;00004;V;00004;V;00005;V;00004;V;00004;V;00004;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00005;V;00005;V;00005;V
28;079;004;01;38;02;17;05;24;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00005;V;00006;V;00008;V;00007;V;00006;V;00005;V;00005;V;00004;V;00004;V;00004;V;00004;V;00005;V;00004;V;00004;V;00004;V;00005;V;00007;V;00007;V
28;079;004;01;38;02;17;05;25;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00006;V;00007;V;00006;V;00005;V;00005;V;00005;V;00005;V;00004;V;00004;V;00004;V;00004;V;00005;V;00004;V;00004;V;00005;V;00005;V;00004;V
28;079;004;01;38;02;17;05;26;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00009;V;00007;V;00006;V;00005;V;00005;V;00005;V;00004;V;00005;V;00004;V;00004;V;00005;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V
28;079;004;01;38;02;17;05;27;00005;V;00005;V;00005;V;00004;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00004;V;00004;V;00004;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00004;V;00005;V
28;079;004;01;38;02;17;05;28;00005;V;00005;V;00005;V;00005;V;00005;V;00004;V;00005;V;00004;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00005;V;00004;V;00004;V;00005;V
28;079;004;01;38;02;17;05;29;00005;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V
28;079;004;01;38;02;17;05;30;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00005;V;00004;V;00005;V;00005;V;00005;V;00005;V;00005;V;00004;V;00005;V;00004;V;00005;V;00004;V;00004;V;00004;V;00005;V;00004;V;00005;V
28;079;004;01;38;02;17;05;31;00004;V;00005;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00005;V;00006;V;00005;V;00005;V;00005;V;00004;V;00004;V;00004;V;00004;V;00005;V;00005;V;00005;V;00005;V;00005;V;00006;V;00006;V
28;079;004;06;48;02;17;05;01;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.6;V
28;079;004;06;48;02;17;05;02;000.5;V;000.5;V;000.5;V;000.4;V;000.3;V;000.4;V;000.4;V;000.4;V;000.4;V;000.5;V;000.4;V;000.5;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.5;V;000.6;V
28;079;004;06;48;02;17;05;03;000.6;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.5;V;000.6;V;000.5;V;000.5;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.6;V;001.4;V;001.3;V
28;079;004;06;48;02;17;05;04;001.0;V;000.7;V;000.4;V;000.4;V;000.4;V;000.3;V;000.4;V;000.4;V;000.5;V;000.5;V;000.5;V;000.5;V;000.5;V;000.5;V;000.5;V;000.5;V;000.4;V;000.4;V;000.4;V;000.5;V;000.6;V;000.6;V;000.6;V;000.6;V
28;079;004;06;48;02;17;05;05;001.0;V;000.6;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V
28;079;004;06;48;02;17;05;06;000.3;V;000.3;V;000.3;V;000.3;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.3;V;000.3;V
